Year,Value,Units
2015,331055,Total Number
2016,358747,Total Number
2017,348012,Total Number
2018,347975,Total Number
2019,348238,Total Number
2020,188195,Total Number
2021,274265,Total Number
2022,338872,Total Number
2023,340333,Total Number
2024,358459,Total Number
