Year,Value,Units
2015,506,Total Number
2016,445,Total Number
2017,563,Total Number
2018,658,Total Number
2019,772,Total Number
2020,679,Total Number
2021,804,Total Number
2022,800,Total Number
2023,753,Total Number
2024,1182,Total Number
2025,1020,Total Number
