Year,Value,Units
2015,7,Total number
2016,6,Total number
2017,6,Total number
2018,6,Total number
2019,3,Total number
2020,7,Total number
2021,7,Total number
2022,6,Total number
2023,4,Total number
2024,9,Total number
2025,8,Total number
