Year,Value,Units
2015,82.2,Percentage
2016,84.5,Percentage
2017,85.8,Percentage
2018,90.7,Percentage
2019,92.1,Percentage
2020,90.8,Percentage
2021,92.4,Percentage
2022,93.5,Percentage
2023,94.0,Percentage
2024,94.5,Percentage
2025,95.2,Percentage
