Year,Área Geográfica,Units,Value
2015,Europeo,Número Total,5
2015,Global,Número Total,18
2016,Europeo,Número Total,5
2016,Global,Número Total,18
2017,Europeo,Número Total,5
2017,Global,Número Total,21
2018,Europeo,Número Total,5
2018,Global,Número Total,23
2019,Europeo,Número Total,5
2019,Global,Número Total,23
2020,Europeo,Número Total,5
2020,Global,Número Total,20
2021,Europeo,Número Total,6
2021,Global,Número Total,20
2022,Europeo,Número Total,7
2022,Global,Número Total,22
2023,Europeo,Número Total,6
2023,Global,Número Total,20
2024,Europeo,Número Total,6
2024,Global,Número Total,20
