Value,Disaggregation combinations using this value,Number of indicators
Barcelona Metropolitan Area,5,4
Barcelona Province,1,1
Barcelona,9,6
Barcelona(0-15 population),1,1
Catalonia,2,2
European Union,1,1
European,1,1
Global,1,1
Spain,2,2
