Value,Disaggregation combinations using this value,Number of indicators
Barcelona,5,2
Ciutat Vella,4,2
Eixample,4,2
Gap,3,1
Gràcia,4,2
Horta-Guinardó,3,1
Horta - Guinardó,1,1
Les Corts,4,2
Nou Barris,4,2
Sant Andreu,4,2
Sant Martí,4,2
Sants-Montjuïc,4,2
Sarrià-Sant Gervasi,3,1
Sarrià - Sant Gervasi,1,1
