Year,Units,Value
2015,Nombre Total,506
2016,Nombre Total,445
2017,Nombre Total,563
2018,Nombre Total,658
2019,Nombre Total,772
2020,Nombre Total,679
2021,Nombre Total,804
2022,Nombre Total,800
2023,Nombre Total,753
2024,Nombre Total,1182
2025,Nombre Total,1020
