Year,Sexo,Units,Value
2016,Hombres,Percentatge,13.5
2016,Mujeres,Percentatge,13.6
2016,,Percentatge,13.5
2021,Hombres,Percentatge,16.3
2021,Mujeres,Percentatge,14.4
2021,,Percentatge,15.3
