Year,Sexe,Units,Value
2020,,Percentatge,4.1
2020,Homes,Percentatge,3.0
2020,Dones,Percentatge,5.0
2025,,Percentatge,7.0
2025,Homes,Percentatge,6.6
2025,Dones,Percentatge,7.4
