Year,Sexo,Units,Value
2015,,Número total en miles,103.0
2016,,Número total en miles,93.8
2017,,Número total en miles,80.3
2018,,Número total en miles,83.0
2019,,Número total en miles,70.3
2020,,Número total en miles,103.9
2021,,Número total en miles,58.1
2022,,Número total en miles,68.1
2023,,Número total en miles,54.0
2024,,Número total en miles,51.5
2025,,Número total en miles,75.7
2015,Hombres,Número total en miles,49.3
2016,Hombres,Número total en miles,46.8
2017,Hombres,Número total en miles,43.6
2018,Hombres,Número total en miles,37.6
2019,Hombres,Número total en miles,38.9
2020,Hombres,Número total en miles,52.6
2021,Hombres,Número total en miles,26.1
2022,Hombres,Número total en miles,34.4
2023,Hombres,Número total en miles,25.8
2024,Hombres,Número total en miles,28.3
2025,Hombres,Número total en miles,36.4
2015,Mujeres,Número total en miles,53.7
2016,Mujeres,Número total en miles,47.0
2017,Mujeres,Número total en miles,36.7
2018,Mujeres,Número total en miles,45.4
2019,Mujeres,Número total en miles,31.4
2020,Mujeres,Número total en miles,51.3
2021,Mujeres,Número total en miles,32.0
2022,Mujeres,Número total en miles,33.7
2023,Mujeres,Número total en miles,28.2
2024,Mujeres,Número total en miles,23.2
2025,Mujeres,Número total en miles,39.3
