Year,Value,Units
2016,3231,Nombre Total
2017,3447,Nombre Total
2018,3530,Nombre Total
2021,4043,Nombre Total
2022,4197,Nombre Total
2023,4477,Nombre Total
2024,4365,Nombre Total
