Year,Sexe,Districte,Units,Value
2021-2022,Homes,Barcelona,Percentatge,89.5
2021-2022,Homes,Ciutat Vella,Percentatge,89.8
2021-2022,Homes,Eixample,Percentatge,90.5
2021-2022,Homes,Sants-Montjuïc,Percentatge,81.9
2021-2022,Homes,Les Corts,Percentatge,100.5
2021-2022,Homes,Sarrià-Sant Gervasi,Percentatge,93.7
2021-2022,Homes,Gràcia,Percentatge,93.6
2021-2022,Homes,Horta-Guinardó,Percentatge,89.0
2021-2022,Homes,Nou Barris,Percentatge,78.1
2021-2022,Homes,Sant Andreu,Percentatge,89.6
2021-2022,Homes,Sant Martí,Percentatge,87.3
2021-2022,Homes,Diferencial,Percentatge,22.4
2021-2022,Dones,Barcelona,Percentatge,93.0
2021-2022,Dones,Ciutat Vella,Percentatge,94.3
2021-2022,Dones,Eixample,Percentatge,99.2
2021-2022,Dones,Sants-Montjuïc,Percentatge,89.1
2021-2022,Dones,Les Corts,Percentatge,92.2
2021-2022,Dones,Sarrià-Sant Gervasi,Percentatge,94.9
2021-2022,Dones,Gràcia,Percentatge,97.2
2021-2022,Dones,Horta-Guinardó,Percentatge,95.2
2021-2022,Dones,Nou Barris,Percentatge,80.1
2021-2022,Dones,Sant Andreu,Percentatge,94.3
2021-2022,Dones,Sant Martí,Percentatge,92.4
2021-2022,Dones,Diferencial,Percentatge,19.1
2022-2023,,Barcelona,Percentatge,91.5
2022-2023,,Ciutat Vella,Percentatge,84.5
2022-2023,,Eixample,Percentatge,94.8
2022-2023,,Sants-Montjuïc,Percentatge,84.0
2022-2023,,Les Corts,Percentatge,94.8
2022-2023,,Sarrià-Sant Gervasi,Percentatge,94.7
2022-2023,,Gràcia,Percentatge,96.3
2022-2023,,Horta-Guinardó,Percentatge,93.2
2022-2023,,Nou Barris,Percentatge,81.8
2022-2023,,Sant Andreu,Percentatge,93.3
2022-2023,,Sant Martí,Percentatge,91.3
2022-2023,,Diferencial,Percentatge,14.5
2022-2023,Homes,Barcelona,Percentatge,90.3
2022-2023,Homes,Ciutat Vella,Percentatge,84.6
2022-2023,Homes,Eixample,Percentatge,93.5
2022-2023,Homes,Sants-Montjuïc,Percentatge,79.3
2022-2023,Homes,Les Corts,Percentatge,94.5
2022-2023,Homes,Sarrià-Sant Gervasi,Percentatge,95.2
2022-2023,Homes,Gràcia,Percentatge,94.7
2022-2023,Homes,Horta-Guinardó,Percentatge,93.3
2022-2023,Homes,Nou Barris,Percentatge,80.3
2022-2023,Homes,Sant Andreu,Percentatge,91.3
2022-2023,Homes,Sant Martí,Percentatge,88.7
2022-2023,Homes,Diferencial,Percentatge,15.8
2022-2023,Dones,Barcelona,Percentatge,92.8
2022-2023,Dones,Ciutat Vella,Percentatge,84.3
2022-2023,Dones,Eixample,Percentatge,96.0
2022-2023,Dones,Sants-Montjuïc,Percentatge,88.6
2022-2023,Dones,Les Corts,Percentatge,95.0
2022-2023,Dones,Sarrià-Sant Gervasi,Percentatge,94.2
2022-2023,Dones,Gràcia,Percentatge,97.9
2022-2023,Dones,Horta-Guinardó,Percentatge,93.2
2022-2023,Dones,Nou Barris,Percentatge,83.3
2022-2023,Dones,Sant Andreu,Percentatge,95.3
2022-2023,Dones,Sant Martí,Percentatge,94.1
2022-2023,Dones,Diferencial,Percentatge,14.6
2023-2024,,Barcelona,Percentatge,88.5
2023-2024,,Ciutat Vella,Percentatge,84.3
2023-2024,,Eixample,Percentatge,90.0
2023-2024,,Sants-Montjuïc,Percentatge,84.3
2023-2024,,Les Corts,Percentatge,95.9
2023-2024,,Sarrià-Sant Gervasi,Percentatge,93.6
2023-2024,,Gràcia,Percentatge,94.0
2023-2024,,Horta-Guinardó,Percentatge,85.5
2023-2024,,Nou Barris,Percentatge,79.6
2023-2024,,Sant Andreu,Percentatge,88.5
2023-2024,,Sant Martí,Percentatge,86.5
2023-2024,,Diferencial,Percentatge,16.3
