Year,Sexo,Units,Value
2016,,Porcentaje,19.2
2016,Hombres,Porcentaje,23.7
2016,Mujeres,Porcentaje,16.5
2021,,Porcentaje,18.0
2021,Hombres,Porcentaje,19.9
2021,Mujeres,Porcentaje,16.3
