Year,Units,Value
2015,Número Total,458
2016,Número Total,503
2017,Número Total,640
2018,Número Total,774
2019,Número Total,969
2020,Número Total,1144
2021,Número Total,1334
2022,Número Total,1422
2023,Número Total,1521
2024,Número Total,1974
2025,Número Total,1037
