Year,Units,Value
2015,Percentage,8.1
2016,Percentage,7.8
2017,Percentage,7.7
2018,Percentage,7.3
2019,Percentage,8.6
2020,Percentage,7.0
2021,Percentage,7.4
2022,Percentage,7.4
2023,Percentage,7.0
2024,Percentage,8.0
2025,Percentage,6.5
