Year,Units,Value
2015,Rate per 1.000,19.07
2016,Rate per 1.000,18.66
2017,Rate per 1.000,16.74
2018,Rate per 1.000,16.01
2019,Rate per 1.000,15.44
2020,Rate per 1.000,12.8
2021,Rate per 1.000,15.4
2022,Rate per 1.000,15.8
2023,Rate per 1.000,15.7
2024,Rate per 1.000,17.5
