Year,Units,Value
2015,Percentage,27.0
2016,Percentage,38.0
2017,Percentage,42.0
2018,Percentage,34.0
2019,Percentage,42.0
2020,Percentage,44.0
2021,Percentage,69.0
2022,Percentage,68.0
2023,Percentage,76.0
2024,Percentage,84.0
2025,Percentage,86.0
