Year,Units,Value
2015,Rate per 1.000,1.2
2016,Rate per 1.000,1.0
2017,Rate per 1.000,1.4
2018,Rate per 1.000,1.4
2019,Rate per 1.000,2.5
2020,Rate per 1.000,1.9
2021,Rate per 1.000,0.7
2022,Rate per 1.000,2.2
2023,Rate per 1.000,2.1
