Year,Units,Value
2016-2017,Percentage,30.7
2017-2018,Percentage,30.9
2018-2019,Percentage,30.6
2019-2020,Percentage,28.5
2020-2021,Percentage,34.0
2021-2022,Percentage,25.6
2022-2023,Percentage,28.4
2024-2025,Percentage,19.2
