Year,Units,Value
2015,Percentage,67.7
2016,Percentage,65.5
2017,Percentage,67.6
2018,Percentage,66.7
2019,Percentage,75.4
2020,Percentage,77.4
2021,Percentage,83.3
2022,Percentage,80.4
2023,Percentage,71.7
2023,Percentage,79.2
