Year,Units,Value
2015,Total Number,19710.52
2016,Total Number,20767.25
2017,Total Number,21588.6
2018,Total Number,23721.52
2019,Total Number,25792.81
2020,Total Number,27045.39
2021,Total Number,27092.15
2022,Total Number,32099.42
2023,Total Number,42219.83
2024,Total Number,45709.76
