Year,Gender,Units,Value
21/12/2020-30/09/2021,Men,Total Number,7665
21/12/2020-30/09/2021,Women,Total Number,7343
21/12/2020-30/09/2021,,Total Number,7481
26/02/2020-12/10/2020,Men,Total Number,2185
26/02/2020-12/10/2020,Women,Total Number,2305
26/02/2020-12/10/2020,,Total Number,2248
