Year,Units,Value
2015,Porcentaje,36.3
2016,Porcentaje,35.93
2017,Porcentaje,36.39
2018,Porcentaje,37.66
2019,Porcentaje,38.81
2020,Porcentaje,39.47
2021,Porcentaje,39.94
2022,Porcentaje,39.77
2023,Porcentaje,41.08
2024,Porcentaje,41.7
